LGA_CODE21,LGA_NAME24,MEDIAN_NDVI
10050,Albury,0.602859914
10180,Armidale,0.685651243
10250,Ballina,0.717353284
10300,Balranald,0.40759024
10470,Bathurst,0.620578766
10500,Bayside (NSW),0.371032476
10550,Bega Valley,0.778623044
10600,Bellingen,0.856353581
10650,Berrigan,0.465370595
10750,Blacktown,0.478868648
10800,Bland,0.434169829
10850,Blayney,0.614761114
10900,Blue Mountains,0.767123282
10950,Bogan,0.482450098
11150,Bourke,0.322344333
11200,Brewarrina,0.391561806
11250,Broken Hill,0.26904887
11300,Burwood,0.386026755
11350,Byron,0.790730059
11400,Cabonne,0.591306388
11450,Camden,0.604275286
11500,Campbelltown (NSW),0.7206074
11520,Canada Bay,0.403399229
11570,Canterbury-Bankstown,0.403508782
11600,Carrathool,0.467397273
11650,Central Coast (NSW),0.779985011
11700,Central Darling,0.319767445
11720,Cessnock,0.781773627
11730,Clarence Valley,0.761386514
11750,Cobar,0.43580848
11800,Coffs Harbour,0.838731468
12000,Coolamon,0.393770844
12150,Coonamble,0.454385191
12160,Cootamundra-Gundagai,0.525098205
12350,Cowra,0.562391162
12380,Cumberland,0.385135144
12390,Dubbo,0.573660016
12700,Dungog,0.755837023
12730,Edward River,0.511565894
12750,Eurobodalla,0.797359943
12850,Fairfield,0.433407143
12870,Federation,0.416909635
12900,Forbes,0.469642282
12930,Georges River,0.443664432
12950,Gilgandra,0.482054442
13010,Glen Innes Severn,0.677178442
13310,Goulburn Mulwaree,0.643336952
13340,Greater Hume,0.603328705
13450,Griffith,0.487006247
13550,Gunnedah,0.486015141
13660,Gwydir,0.52478838
13800,Hawkesbury,0.760368645
13850,Hay,0.484245449
13910,Hilltops,0.537942648
14000,Hornsby,0.75491035
14100,Hunters Hill,0.55522725
14170,Inner West,0.352148026
14220,Inverell,0.553837001
14300,Junee,0.4453125
14350,Kempsey,0.803600669
14400,Kiama,0.788711309
14500,Ku-ring-gai,0.699134171
14550,Kyogle,0.780833006
14600,Lachlan,0.469496012
14650,Lake Macquarie,0.771407425
14700,Lane Cove,0.567011148
14750,Leeton,0.515416265
14850,Lismore,0.723462999
14870,Lithgow,0.710239649
14900,Liverpool,0.61645329
14920,Liverpool Plains,0.548904657
14950,Lockhart,0.464265615
15050,Maitland,0.659170985
15240,Mid-Coast,0.797570825
15270,Mid-Western,0.632949233
15300,Moree Plains,0.360074639
15350,Mosman,0.489777237
15520,Murray River,0.496858776
15560,Murrumbidgee,0.463855416
15650,Muswellbrook,0.670023263
15700,Nambucca Valley,0.842940032
15750,Narrabri,0.499564081
15800,Narrandera,0.43124792
15850,Narromine,0.439975262
15900,Newcastle,0.570254117
15950,North Sydney,0.440262854
15990,Northern Beaches,0.722896278
16100,Oberon,0.698113203
16150,Orange,0.610188782
16200,Parkes,0.476392061
16260,Parramatta,0.49258998
16350,Penrith,0.614832908
16380,Port Macquarie-Hastings,0.837027371
16400,Port Stephens,0.725829065
16490,Queanbeyan-Palerang,0.662568867
16550,Randwick,0.426607758
16610,Richmond Valley,0.728589177
16700,Ryde,0.508075356
16900,Shellharbour,0.750892788
16950,Shoalhaven,0.781831443
17000,Singleton,0.731768668
17040,Snowy Monaro,0.637519896
17080,Snowy Valleys,0.705389202
17100,Strathfield,0.41997686
17150,Sutherland,0.734555602
17200,Sydney,0.279606372
17310,Tamworth,0.593206942
17350,Temora,0.434134603
17400,Tenterfield,0.667643368
17420,The Hills,0.700516343
17550,Tweed,0.811722934
19399,Unincorporated NSW,0.229623139
17620,Upper Hunter,0.658940375
17640,Upper Lachlan,0.635308981
17650,Uralla,0.595091999
17750,Wagga Wagga,0.52521652
17850,Walcha,0.720822632
17900,Walgett,0.421135157
17950,Warren,0.482923716
18020,Warrumbungle,0.601212144
18050,Waverley,0.350336909
18100,Weddin,0.47752279
18200,Wentworth,0.348002702
18250,Willoughby,0.54031378
18350,Wingecarribee,0.737417936
18400,Wollondilly,0.756988049
18450,Wollongong,0.762682319
18500,Woollahra,0.47023809
18710,Yass Valley,0.610687017
