LGA_CODE21,expossure_group,vulnerability_group,AGCD_hist_score_n_group,AGCD_recent_score_n_group,2020_2039_SSP2_score_n_group,2040_2059_SSP2_score_n_group,2060_2079_SSP2_score_n_group,2080_2099_SSP2_score_n_group,2020_2039_SSP3_score_n_group,2040_2059_SSP3_score_n_group,2060_2079_SSP3_score_n_group,2080_2099_SSP3_score_n_group,recent_risk_equal_group,2030_risk_equal_SSP2_group,2050_risk_equal_SSP2_group,2070_risk_equal_SSP2_group,2090_risk_equal_SSP2_group,2030_risk_equal_SSP3_group,2050_risk_equal_SSP3_group,2070_risk_equal_SSP3_group,2090_risk_equal_SSP3_group
10050,3,5,3,4,5,7,8,9,5,8,9,10,5,6,7,8,8,6,8,9,10
10180,2,3,1,1,1,3,5,7,1,5,8,9,1,1,2,3,5,1,3,5,8
10250,2,6,1,2,4,6,8,9,4,8,9,10,4,5,6,7,9,5,7,9,11
10300,1,3,5,7,7,8,9,9,7,9,9,10,4,4,5,6,7,4,6,7,8
10470,2,4,1,2,2,4,6,8,2,6,8,10,2,2,3,4,6,2,4,6,8
10500,3,2,1,2,2,5,6,8,2,5,8,10,2,3,4,5,6,2,4,6,9
10550,2,7,1,1,1,2,2,4,1,3,4,8,2,3,4,5,6,3,5,6,8
10600,2,5,1,1,2,4,5,8,2,6,8,10,2,3,4,5,7,3,5,7,9
10650,1,8,4,5,6,7,8,9,6,8,9,10,7,8,9,9,9,8,9,10,11
10750,3,1,2,3,3,5,6,8,3,6,8,9,5,5,6,7,8,5,7,8,9
10800,1,4,5,6,7,8,9,9,7,9,10,10,4,4,6,7,8,5,7,8,9
10850,1,3,1,2,3,5,6,8,3,6,8,10,2,2,3,4,5,2,4,5,8
10900,3,4,1,1,2,4,4,7,2,5,7,9,2,3,4,4,6,3,4,6,8
10950,1,3,6,8,8,9,10,10,8,10,10,10,4,5,7,7,9,5,7,9,10
11150,1,2,8,9,9,10,10,10,9,10,10,10,5,5,7,8,9,5,7,9,10
11200,1,4,7,8,9,10,10,10,9,10,10,10,5,6,8,8,9,6,8,9,11
11250,2,8,6,7,7,8,9,9,8,9,9,10,9,9,10,10,11,10,11,11,11
11300,2,3,1,2,2,4,5,7,2,5,7,9,2,2,3,4,5,2,3,5,8
