LGA_CODE_2019,LGA_NAME_2019,LGA_CODE_2021,LGA_NAME_2021
19499,No usual address,19499,No usual address
10050,Albury,10050,Albury
10130,Armidale Regional,10180,Armidale Regional
13340,Greater Hume Shire,13340,Greater Hume Shire
10250,Ballina,10250,Ballina
10300,Balranald,10300,Balranald
14170,Inner West,14170,Inner West
10470,Bathurst Regional,10470,Bathurst Regional
11400,Cabonne,11400,Cabonne
10500,Bayside,10500,Bayside
16260,Parramatta,16260,Parramatta
10550,Bega Valley,10550,Bega Valley
12380,Cumberland,12380,Cumberland
10600,Bellingen,10600,Bellingen
10650,Berrigan,10650,Berrigan
10750,Blacktown,10750,Blacktown
14000,Hornsby,14000,Hornsby
10800,Bland,10800,Bland
11570,Canterbury-Bankstown,11570,Canterbury-Bankstown
10850,Blayney,10850,Blayney
16380,Port Macquarie-Hastings,16380,Port Macquarie-Hastings
10900,Blue Mountains,10900,Blue Mountains
10950,Bogan,10950,Bogan
17420,The Hills Shire,17420,The Hills Shire
11150,Bourke,11150,Bourke
11200,Brewarrina,11200,Brewarrina
11250,Broken Hill,11250,Broken Hill
11300,Burwood,11300,Burwood
11350,Byron,11350,Byron
18450,Wollongong,18450,Wollongong
11450,Camden,11450,Camden
11500,Campbelltown,11500,Campbelltown
11520,Canada Bay,11520,Canada Bay
11600,Carrathool,11600,Carrathool
17040,Snowy Monaro Regional,17040,Snowy Monaro Regional
11650,Central Coast,11650,Central Coast
13910,Hilltops,13910,Hilltops
11700,Central Darling,11700,Central Darling
11720,Cessnock,11720,Cessnock
11730,Clarence Valley,11730,Clarence Valley
11750,Cobar,11750,Cobar
11800,Coffs Harbour,11800,Coffs Harbour
12000,Coolamon,12000,Coolamon
12150,Coonamble,12150,Coonamble
12160,Cootamundra-Gundagai Regional,12160,Cootamundra-Gundagai Regional
12350,Cowra,12350,Cowra
12930,Georges River,12930,Georges River
12390,Dubbo Regional,12390,Dubbo Regional
12700,Dungog,12700,Dungog
16610,Richmond Valley,16610,Richmond Valley
12730,Edward River,12730,Edward River
12750,Eurobodalla,12750,Eurobodalla
12850,Fairfield,12850,Fairfield
12870,Federation,12870,Federation
12900,Forbes,12900,Forbes
12950,Gilgandra,12950,Gilgandra
13010,Glen Innes Severn,13010,Glen Innes Severn
16490,Queanbeyan-Palerang Regional,16490,Queanbeyan-Palerang Regional
13310,Goulburn Mulwaree,13310,Goulburn Mulwaree
13450,Griffith,13450,Griffith
13550,Gunnedah,13550,Gunnedah
13660,Gwydir,13660,Gwydir
13800,Hawkesbury,13800,Hawkesbury
13850,Hay,13850,Hay
14100,Hunters Hill,14100,Hunters Hill
14200,Inverell,14220,Inverell
15240,Mid-Coast,15240,Mid-Coast
14300,Junee,14300,Junee
14350,Kempsey,14350,Kempsey
14400,Kiama,14400,Kiama
17640,Upper Lachlan Shire,17640,Upper Lachlan Shire
14500,Ku-ring-gai,14500,Ku-ring-gai
14550,Kyogle,14550,Kyogle
14600,Lachlan,14600,Lachlan
14650,Lake Macquarie,14650,Lake Macquarie
17310,Tamworth Regional,17310,Tamworth Regional
14700,Lane Cove,14700,Lane Cove
14750,Leeton,14750,Leeton
14850,Lismore,14850,Lismore
14870,Lithgow,14870,Lithgow
14900,Liverpool,14900,Liverpool
15560,Murrumbidgee,15560,Murrumbidgee
14920,Liverpool Plains,14920,Liverpool Plains
14950,Lockhart,14950,Lockhart
15050,Maitland,15050,Maitland
15270,Mid-Western Regional,15270,Mid-Western Regional
15300,Moree Plains,15300,Moree Plains
15350,Mosman,15350,Mosman
15520,Murray River,15520,Murray River
15650,Muswellbrook,15650,Muswellbrook
15700,Nambucca,15700,Nambucca Valley
15750,Narrabri,15750,Narrabri
15800,Narrandera,15800,Narrandera
15850,Narromine,15850,Narromine
15900,Newcastle,15900,Newcastle
15950,North Sydney,15950,North Sydney
15990,Northern Beaches,15990,Northern Beaches
16100,Oberon,16100,Oberon
16150,Orange,16150,Orange
16200,Parkes,16200,Parkes
16350,Penrith,16350,Penrith
16400,Port Stephens,16400,Port Stephens
16550,Randwick,16550,Randwick
16700,Ryde,16700,Ryde
16900,Shellharbour,16900,Shellharbour
16950,Shoalhaven,16950,Shoalhaven
17000,Singleton,17000,Singleton
17080,Snowy Valleys,17080,Snowy Valleys
17100,Strathfield,17100,Strathfield
17150,Sutherland Shire,17150,Sutherland Shire
17200,Sydney,17200,Sydney
17350,Temora,17350,Temora
17400,Tenterfield,17400,Tenterfield
17550,Tweed,17550,Tweed
17620,Upper Hunter Shire,17620,Upper Hunter Shire
17650,Uralla,17650,Uralla
17750,Wagga Wagga,17750,Wagga Wagga
17850,Walcha,17850,Walcha
17900,Walgett,17900,Walgett
17950,Warren,17950,Warren
18020,Warrumbungle Shire,18020,Warrumbungle Shire
18050,Waverley,18050,Waverley
18100,Weddin,18100,Weddin
18200,Wentworth,18200,Wentworth
18250,Willoughby,18250,Willoughby
18350,Wingecarribee,18350,Wingecarribee
18400,Wollondilly,18400,Wollondilly
18500,Woollahra,18500,Woollahra
18710,Yass Valley,18710,Yass Valley
19399,Unincorporated NSW,19399,Unincorporated NSW
19799,Migratory - Offshore - Shipping,19799,Migratory - Offshore - Shipping
