LGA_CODE_2021,LGA_NAME24,STE_NAME21,exposure_group,vulnerability_group,hist_risk_equal_group,recent_risk_equal_group,2030_risk_equal_SSP2_group,2050_risk_equal_SSP2_group,2070_risk_equal_SSP2_group,2090_risk_equal_SSP2_group,2030_risk_equal_SSP3_group,2050_risk_equal_SSP3_group,2070_risk_equal_SSP3_group,2090_risk_equal_SSP3_group
LGA40070,Adelaide,South Australia,2,4,3,4,4,5,5,5,4,5,5,7
LGA40120,Adelaide Hills,South Australia,2,2,1,1,1,1,1,2,1,1,2,3
LGA40150,Adelaide Plains,South Australia,1,2,1,2,2,3,3,3,2,3,3,4
LGA10050,Albury,New South Wales,3,6,5,6,7,8,8,9,7,8,9,10
LGA40220,Alexandrina,South Australia,2,8,7,8,7,8,8,8,7,8,9,9
LGA20110,Alpine,Victoria,2,6,1,2,2,4,4,5,3,4,5,8
LGA20260,Ararat,Victoria,1,6,3,4,4,5,5,6,4,5,6,8
LGA10180,Armidale,New South Wales,2,5,1,2,2,4,4,6,2,5,7,9
LGA20570,Ballarat,Victoria,3,7,4,5,5,6,7,7,5,7,7,9
LGA10250,Ballina,New South Wales,2,7,4,5,6,8,9,9,7,9,10,11
LGA30300,Balonne,Queensland,1,3,3,5,5,7,8,9,5,8,9,11
LGA10300,Balranald,New South Wales,1,2,2,3,3,4,5,6,3,5,6,8
LGA30370,Banana,Queensland,2,1,1,1,3,4,6,8,3,6,8,10
LGA20660,Banyule,Victoria,3,3,2,2,3,3,4,4,3,4,4,5
LGA30450,Barcoo,Queensland,1,1,2,4,5,7,8,9,5,8,9,11
LGA40310,Barossa,South Australia,2,4,2,3,3,4,4,5,3,4,5,6
LGA40430,Barunga West,South Australia,1,8,9,9,10,10,10,11,10,10,11,11
LGA20740,Bass Coast,Victoria,2,8,5,5,6,7,7,8,6,7,8,9
LGA10470,Bathurst,New South Wales,2,4,2,3,3,4,5,7,3,5,7,9
LGA20830,Baw Baw,Victoria,3,3,1,1,1,2,2,3,1,3,3,5
LGA10500,Bayside (NSW),New South Wales,3,1,1,1,1,3,3,5,1,3,5,8
LGA20910,Bayside (Vic.),Victoria,3,1,1,1,1,1,1,1,1,1,1,3
LGA10550,Bega Valley,New South Wales,2,8,3,4,5,6,7,8,5,7,8,9
LGA10600,Bellingen,New South Wales,2,8,4,5,6,7,8,9,6,8,9,11
LGA21010,Benalla,Victoria,2,6,4,5,5,7,7,8,5,7,8,9
LGA40520,Berri Barmera,South Australia,1,2,1,2,3,3,4,4,3,4,5,6
LGA10650,Berrigan,New South Wales,1,2,1,2,3,4,4,5,3,4,5,7
LGA30760,Blackall Tambo,Queensland,1,5,5,6,8,9,10,11,8,10,11,11
LGA10750,Blacktown,New South Wales,3,1,3,4,4,5,6,8,4,6,8,9
LGA10800,Bland,New South Wales,1,4,4,5,5,6,7,8,5,7,8,10
LGA10850,Blayney,New South Wales,1,4,1,2,3,4,5,6,3,5,6,9
LGA10900,Blue Mountains,New South Wales,3,6,3,4,4,5,6,8,4,7,8,9
